review_text,fake_prob,cleaned,word_count,is_short,is_non_english,raw_fake_prob,cal_fake_prob,label_current_app.py,label_youden's_j,label_cost-sensitive,label_natural_valley,label_percentile,label_conservative,label_recommended,label_strict
It's good enough for this price and the customer service is actually not bad,0.9098049402236938,It's good enough for this price and the customer service is actually not bad,14,False,False,2.5460671167820692e-05,0.0001938636241180762,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Good product Sound is good,0.0088130990043282,Good product Sound is good,5,False,False,0.0015214310260489583,0.005263498886048153,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Using this product for more than a month and the sound quality is great,0.9106593728065492,Using this product for more than a month and the sound quality is great,14,False,False,1.3063777259958442e-05,0.00011306921547424585,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Good but voice quality can be improved,0.6000644564628601,Good but voice quality can be improved,7,False,False,0.00018160710169468075,0.0009478267049341955,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Battery life good and sound is ok,0.956796944141388,Battery life good and sound is ok,7,False,False,0.0001211460548802279,0.0006835070016150259,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"Its a good product and the charging stats for long, no noise while calling",0.9270121455192566,"Its a good product and the charging stats for long, no noise while calling",14,False,False,1.1489195458125323e-05,0.00010192356540216165,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
The design of the closure leads to the lid breaking,0.3984395265579223,The design of the closure leads to the lid breaking,10,False,False,0.0001484161475673318,0.0008052850104387796,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Nice Bass on this buds..and battery works is amazing.,0.9388173222541808,Nice Bass on this buds..and battery works is amazing.,9,False,False,0.11772487312555313,0.1641595548970973,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
0 बार-बार charging mein problem aata hai,0.1697517484426498,0 बार-बार charging mein problem aata hai,7,False,True,0.016434786841273308,0.03534914970830779,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Not that much good product I expected,0.4026891887187958,Not that much good product I expected,7,False,False,0.0006477321730926633,0.002645008252635208,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Noise was good but there is no bass in the buds,0.7716470956802368,Noise was good but there is no bass in the buds,11,False,False,2.2264181097852997e-05,0.000173949243773319,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"Unbelievable product, best in the market.",0.4336709380149841,"Unbelievable product, best in the market.",6,False,False,0.22112050652503967,0.2655158759422955,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"I've been using these earbuds for 3 months and i have not faced any issues yet, except that they are a little big for my ears and hurts when used for long hours. The sound quality is good and the battery lasts long enough. So far im Satisfied with the product!",0.971447229385376,"I've been using these earbuds for 3 months and i have not faced any issues yet, except that they are a little big for my ears and hurts when used for long hours. The sound quality is good and the battery lasts long enough. So far im Satisfied with the product!",51,False,False,9.181519999401644e-06,8.503431889729618e-05,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Very good sound quality. It's easy to pair. The MFB is easy to receive calls or to operate your phone. Much recommended. Battery is quite good,0.9898782968521118,Very good sound quality. It's easy to pair. The MFB is easy to receive calls or to operate your phone. Much recommended. Battery is quite good,26,False,False,1.5812842320883647e-05,0.00013193509061425315,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Product is so good and comfortable.,0.8954157829284668,Product is so good and comfortable.,6,False,False,7.136046042433009e-05,0.0004457487321468027,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Baat airdrop121 Gen2 is to good sound system and battery backup system good value for money,0.8229179382324219,Baat airdrop121 Gen2 is to good sound system and battery backup system good value for money,16,False,False,0.00030375432106666267,0.0014357424617242257,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Very good and valu for money it latency is good and sound quality is better and is 70 hr batery backup tre and I need to charge once in 10 day,0.9670493602752686,Very good and valu for money it latency is good and sound quality is better and is 70 hr batery backup tre and I need to charge once in 10 day,31,False,False,7.845617801649496e-06,7.48887200604472e-05,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"I’ve been using, overall the music and movie sound is decent, clear and enjoyable. The battery life is ok. However, the mic quality is a letdown. it sometimes sounds muffled and It picks up a lot of background noise, and people on the other end often struggle to understand me. I even bought two pairs, and both had the same issue. Good for media, but not ideal for calls.",0.8104041814804077,"I’ve been using, overall the music and movie sound is decent, clear and enjoyable. The battery life is ok. However, the mic quality is a letdown. it sometimes sounds muffled and It picks up a lot of background noise, and people on the other end often struggle to understand me. I even bought two pairs, and both had the same issue. Good for media, but not ideal for calls.",69,False,True,6.316603958111955e-06,6.28558266473088e-05,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Quality in this price is good but I have minor issue while attending call... Otherwise bettery life and other thing's are good...,0.9583677053451538,Quality in this price is good but I have minor issue while attending call... Otherwise bettery life and other thing's are good...,22,False,False,2.0240900994394906e-05,0.00016106143570177763,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Good product . Good sound . Good durability. Good battery backup,0.9519208073616028,Good product . Good sound . Good durability. Good battery backup,11,False,False,0.014749359339475632,0.0324423532383265,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Value for Money 💰 Good Product 😄,0.0005802587256766,Value for Money 💰 Good Product 😄,7,False,True,0.022344831377267838,0.04507162606493001,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Very good product nice sound quality,0.972862720489502,Very good product nice sound quality,6,False,False,0.0005753188743256032,0.002403815236668589,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Wouldn't call a very good but a decent one.,0.2466407269239425,Wouldn't call a very good but a decent one.,9,False,False,0.0002463309792801738,0.0012123148428409645,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Good packing and nice sound quality,0.967958688735962,Good packing and nice sound quality,6,False,False,0.00012209844135213643,0.0006878433996019118,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
The product is good but the gen 1 last longer than gen 2. Connectivity is better and sound quality is good. Calling quality is smooth.,0.9522594809532166,The product is good but the gen 1 last longer than gen 2. Connectivity is better and sound quality is good. Calling quality is smooth.,25,False,False,2.0231580492691137e-05,0.00016100150989899024,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
I also 9 month this product use have a not a issue but Lekin call ka time mein connect Hona Mushkil hota hai usko aur battery is a long lasting better than but charging to bonus slow very slow nahi just is slow sound quality better is good loud base Sabse Badi cheez happy year ka quality achha hai money waste Nahin Hua Shayad,0.9596787095069884,I also 9 month this product use have a not a issue but Lekin call ka time mein connect Hona Mushkil hota hai usko aur battery is a long lasting better than but charging to bonus slow very slow nahi just is slow sound quality better is good loud base Sabse Badi cheez happy year ka quality achha hai money waste Nahin Hua Shayad,64,False,False,0.0005157250561751425,0.0022008600688467428,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"Great sound quality, value for money",0.9254027009010316,"Great sound quality, value for money",6,False,False,0.004162823315709829,0.011818807762125752,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
It’s good for the price.,0.4420019388198852,It’s good for the price.,5,False,True,4.8856014473130926e-05,0.0003282252430348444,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"I’ve been using boAt Airdopes for a while now, and honestly, they’re great for the price. The sound quality is impressive with good bass, which makes music and videos more enjoyable. The battery backup is decent and easily lasts through daily use. The design is comfortable and fits well in the ears, so you can wear them for long periods without any discomfort. Bluetooth connectivity is smooth, and pairing is quick. Overall, if you’re looking for budget-friendly wireless earbuds with good performance, boAt Airdopes are definitely worth it!",0.9874781370162964,"I’ve been using boAt Airdopes for a while now, and honestly, they’re great for the price. The sound quality is impressive with good bass, which makes music and videos more enjoyable. The battery backup is decent and easily lasts through daily use. The design is comfortable and fits well in the ears, so you can wear them for long periods without any discomfort. Bluetooth connectivity is smooth, and pairing is quick. Overall, if you’re looking for budget-friendly wireless earbuds with good performance, boAt Airdopes are definitely worth it!",88,False,True,6.329266852844739e-06,6.295762519955375e-05,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
It’s a value for money product. I am happy with sound quality.,0.9678772687911988,It’s a value for money product. I am happy with sound quality.,12,False,True,0.0018092608079314232,0.006051163525003148,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
This product is nice 👍👍 and good sound quality means overall nice in this price,0.9873074293136596,This product is nice 👍👍 and good sound quality means overall nice in this price,15,False,True,0.20104004442691803,0.24694077914496887,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Good product To buy at this range,0.0054388367570936,Good product To buy at this range,7,False,False,0.00031730180489830673,0.0014872093606824613,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"Alright everyone , please read this review carefully as it's 6 july 2025 today and on the 23rd of August 2025 , i will have spent 2 years using these awesome and marvellous earbuds... These have been 2 years of extreme , rigorous and very very careless usage and these earphones are still in prime condition, needless to add I'm an avid consumer of music ,l wear my earbuds almost all day long , I've worn them in the gym , while running , they've seen a lot of sweat , a lot of earwax , most of the days ,i fall asleep while wearing them and get up with them either under them or on the floor, I've been very very merciless with these earbuds , I have not used them ,I have exploited them, after allll of this , they're still in prime condition, the mic on these works extremely well, they charge pretty quickly , the box takes a little longer to get fully charged but it lasts for a long time , call quality, voice quality , everything is awesome , their response to your touch is also very durable and awesome , it happens ever so oftent that I'm in the gym and my phone is drenched in sweat and it's screen starts malfunctioning and as a result I can't take calls , but thanks to these earphones , even after all the sweat and moisture they respond to my touch instantly amd I'm able to take calls , in the gym, while driving, 2 wheelers , 4 wheelers , everything...you know I lost their charging box somewhere , so I purchased another set of the same earphones just for the box and im still using the old earbuds with the new box , I have dropped them quite roughly several times , one or two times I have thrown them away because I was angry due to some reason and they're still going one without an ounce of reduction in quality , this is why I'm calling them marvellous... After such rough and extreme usage , i just can't find any big noticable flaw in them.... But yes , I'll like to add that everything depreciates with time , after 2 years of usage , their batter life isn't as good as when they were new , but the sound quality ,the durability, it's still 90% of how it was when they were new...There may be some people who are extra extra critical and would say they give 4.6 to music , 3. Blah blah blah to sound , to bass , don't bother listening to nerds and wannabe tech gurus , go for it , best in class , marvel of engineering , this is gonna be one of those few purchases that youre gonna be proud of , over and out...",0.9788557887077332,"Alright everyone , please read this review carefully as it's 6 july 2025 today and on the 23rd of August 2025 , i will have spent 2 years using these awesome and marvellous earbuds... These have been 2 years of extreme , rigorous and very very careless usage and these earphones are still in prime condition, needless to add I'm an avid consumer of music ,l wear my earbuds almost all day long , I've worn them in the gym , while running , they've seen a lot of sweat , a lot of earwax , most of the days ,i fall asleep while wearing them and get up with them either under them or on the floor, I've been very very merciless with these earbuds , I have not used them ,I have exploited them, after allll of this , they're still in prime condition, the mic on these works extremely well, they charge pretty quickly , the box takes a little longer to get fully charged but it lasts for a long time , call quality, voice quality , everything is awesome , their response to your touch is also very durable and awesome , it happens ever so oftent that I'm in the gym and my phone is drenched in sweat and it's screen starts malfunctioning and as a result I can't take calls , but thanks to these earphones , even after all the sweat and moisture they respond to my touch instantly amd I'm able to take calls , in the gym, while driving, 2 wheelers , 4 wheelers , everything...you know I lost their charging box somewhere , so I purchased another set of the same earphones just for the box and im still using the old earbuds with the new box , I have dropped them quite roughly several times , one or two times I have thrown them away because I was angry due to some reason and they're still going one without an ounce of reduction in quality , this is why I'm calling them marvellous... After such rough and extreme usage , i just can't find any big noticable flaw in them.... But yes , I'll like to add that everything depreciates with time , after 2 years of usage , their batter life isn't as good as when they were new , but the sound quality ,the durability, it's still 90% of how it was when they were new...There may be some people who are extra extra critical and would say they give 4.6 to music , 3. Blah blah blah to sound , to bass , don't bother listening to nerds and wannabe tech gurus , go for it , best in class , marvel of engineering , this is gonna be one of those few purchases that youre gonna be proud of , over and out...",479,False,False,1.2058215361321345e-05,0.00010598329613772342,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"one of the best product bought buy me, in the starting i only had issue with the fitting of the earbuds in my ear as they were falling of but soon after they started fitting perfectly the sound quality is quite decent and battery life is also quite good overall this product is worth to buy and lives upto its expectation.",0.9800755977630616,"one of the best product bought buy me, in the starting i only had issue with the fitting of the earbuds in my ear as they were falling of but soon after they started fitting perfectly the sound quality is quite decent and battery life is also quite good overall this product is worth to buy and lives upto its expectation.",61,False,False,7.101306437107269e-06,6.909358695740257e-05,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"⭐⭐⭐⭐⭐ Absolutely Loving These Buds! A Great Buy! 🔥 I just picked up these OnePlus Nord Buds 3r from Amazon, and I'm very impressed. Here’s a quick breakdown to help you decide! 👇 ✨ Design & Comfort • Case: Feels incredibly sturdy & premium in hand. Sleek finish! 👌 • Buds: Super lightweight and stylish. 💎 • Fit: Extremely comfortable, I can wear them for hours without any pain. 😌 📱 Amazing App Integration (HeyMelody) • Official Support: Yes, it works seamlessly with the 'HeyMelody' app! 🎉 • Features: You can easily customize touch controls, check precise battery levels, and manage EQ settings for the perfect sound. 🎧 So convenient! 🎮 A Note on Gaming Mode • While most things are perfect, the Gaming Mode has a tiny bit of latency. 🤏 • If you are a very serious gamer, you might notice a very minor sound lag during fast-paced games. For movies and music, it’s flawless! 🎬🎶 💰 Final Verdict • Overall, this is a top-tier product with a high-quality feel. 🏆 • If you want sleek design + great app support, this is a perfect choice! Highly recommended. ✅",0.0036409809254109,"⭐⭐⭐⭐⭐ Absolutely Loving These Buds! A Great Buy! 🔥 I just picked up these OnePlus Nord Buds 3r from Amazon, and I'm very impressed. Here’s a quick breakdown to help you decide! 👇 ✨ Design & Comfort • Case: Feels incredibly sturdy & premium in hand. Sleek finish! 👌 • Buds: Super lightweight and stylish. 💎 • Fit: Extremely comfortable, I can wear them for hours without any pain. 😌 📱 Amazing App Integration (HeyMelody) • Official Support: Yes, it works seamlessly with the 'HeyMelody' app! 🎉 • Features: You can easily customize touch controls, check precise battery levels, and manage EQ settings for the perfect sound. 🎧 So convenient! 🎮 A Note on Gaming Mode • While most things are perfect, the Gaming Mode has a tiny bit of latency. 🤏 • If you are a very serious gamer, you might notice a very minor sound lag during fast-paced games. For movies and music, it’s flawless! 🎬🎶 💰 Final Verdict • Overall, this is a top-tier product with a high-quality feel. 🏆 • If you want sleek design + great app support, this is a perfect choice! Highly recommended. ✅",191,False,True,2.0744873836520128e-05,0.00016429389112146073,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
I have been using the Apple airpods all this while. I opted these as a backup which will do the job in case i loose airpods somewhere. But it turned out to be so good. Its sturdy and gets connected without a glitch to multiple devices at the same time. Making things easier. Now i prefer using these for all purpose.,0.983178973197937,I have been using the Apple airpods all this while. I opted these as a backup which will do the job in case i loose airpods somewhere. But it turned out to be so good. Its sturdy and gets connected without a glitch to multiple devices at the same time. Making things easier. Now i prefer using these for all purpose.,61,False,False,5.929168310103705e-06,5.972177840558273e-05,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"I recently bought the OnePlus Nord Buds 3R, and I’m honestly super impressed! The design looks fantastic, and the color gives it a really premium feel. It fits perfectly in my ears, so I can wear it comfortably for long hours without any discomfort. The sound quality is amazing with clear vocals and good bass, making music and calls enjoyable. The battery life is another big highlight — it easily lasts a long time without needing frequent charging, which is very convenient. Overall, it’s a great product for the price. Stylish, comfortable, and powerful — definitely worth buying!",0.986200213432312,"I recently bought the OnePlus Nord Buds 3R, and I’m honestly super impressed! The design looks fantastic, and the color gives it a really premium feel. It fits perfectly in my ears, so I can wear it comfortably for long hours without any discomfort. The sound quality is amazing with clear vocals and good bass, making music and calls enjoyable. The battery life is another big highlight — it easily lasts a long time without needing frequent charging, which is very convenient. Overall, it’s a great product for the price. Stylish, comfortable, and powerful — definitely worth buying!",98,False,True,6.3110342125582974e-06,6.281103837990981e-05,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"Pros: 1. They are light weight and Pocket Friendly. 2. Good Sound Quality along with their Heavy Bass Tuning. 3. Good for Outdoor Listening and Good Fit in Ear Earbuds. 4. Good Battery Backup in this Price Range. 5. Advanced Features present like Find My Buds, Presets, App Support, Google Fast Pair, Dual Pair. Cons: 1. They are light weight but still might feel little uncomfortable for some. 2. Not having LDAC, Hi res Audio. 3. No Active Noice Cancellation available despite some Alternative Brands Providing The ANC. 4. No Charging Cable in the Box. 5. They might not be fully Functional with all the Features in devices other than Oppo, OnePlus, Realme. Overall if you want an Earbuds with good Sound Quality, Battery Backup, You Use Oneplus, Oppo, Realme devices and you Don't Really want ANC, then it is a Go to Product in this Price Range.",0.9522807598114014,"Pros: 1. They are light weight and Pocket Friendly. 2. Good Sound Quality along with their Heavy Bass Tuning. 3. Good for Outdoor Listening and Good Fit in Ear Earbuds. 4. Good Battery Backup in this Price Range. 5. Advanced Features present like Find My Buds, Presets, App Support, Google Fast Pair, Dual Pair. Cons: 1. They are light weight but still might feel little uncomfortable for some. 2. Not having LDAC, Hi res Audio. 3. No Active Noice Cancellation available despite some Alternative Brands Providing The ANC. 4. No Charging Cable in the Box. 5. They might not be fully Functional with all the Features in devices other than Oppo, OnePlus, Realme. Overall if you want an Earbuds with good Sound Quality, Battery Backup, You Use Oneplus, Oppo, Realme devices and you Don't Really want ANC, then it is a Go to Product in this Price Range.",148,False,False,8.116291610349435e-06,7.696956450484918e-05,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"I own a airpods pro 3 and a Sony xm5. These buds cost less than 2000. The sound is excellent. Battery is excellent. Can connect two devices at the same time. Amazing battery like. Just goes to show how much some products are over charged. Call quality is really good. Fit in the ear is good with the provided tips. This is something which will endure the wear and tear for everyday use. Buy one of these , throw it into your bag and use them. You will not regret. I have a apple iPhone 17, galaxy s25 ultra and m2 iPad pro along with an m5 mac air.",0.9836020469665528,"I own a airpods pro 3 and a Sony xm5. These buds cost less than 2000. The sound is excellent. Battery is excellent. Can connect two devices at the same time. Amazing battery like. Just goes to show how much some products are over charged. Call quality is really good. Fit in the ear is good with the provided tips. This is something which will endure the wear and tear for everyday use. Buy one of these , throw it into your bag and use them. You will not regret. I have a apple iPhone 17, galaxy s25 ultra and m2 iPad pro along with an m5 mac air.",109,False,False,7.4275685619795695e-06,7.164751315792985e-05,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"I am sharing my honest review after using these earbuds for one week. Previously, I used the boAt Nirvana Ion, so my comparison is based on that experience. Pros: The sound quality is good. Battery backup / playback time is also good. The build quality feels solid and premium. Fit perfectly in ears not loose at all. Cons: These earbuds do not have an ear-detection sensor. Because of this, I have to manually pause the music before removing the earbuds from my ears. This feature was available in the Nirvana Ion and was very useful. The Bluetooth connectivity range seems weak. After moving just 4–5 steps away from the phone, the music starts glitching or disconnecting. This was not an issue with the Nirvana Ion—even from two rooms away, it stayed connected.",0.9689539074897766,"I am sharing my honest review after using these earbuds for one week. Previously, I used the boAt Nirvana Ion, so my comparison is based on that experience. Pros: The sound quality is good. Battery backup / playback time is also good. The build quality feels solid and premium. Fit perfectly in ears not loose at all. Cons: These earbuds do not have an ear-detection sensor. Because of this, I have to manually pause the music before removing the earbuds from my ears. This feature was available in the Nirvana Ion and was very useful. The Bluetooth connectivity range seems weak. After moving just 4–5 steps away from the phone, the music starts glitching or disconnecting. This was not an issue with the Nirvana Ion—even from two rooms away, it stayed connected.",132,False,True,8.234619599534199e-06,7.787502374527832e-05,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"The sound, out of the box, is slightly muddy. Use heyMelody app to customise it according to your preferences. It connects quickly without lag. Touch controls are fast and work well, however you have to turn on ""single tap to play/pause"" (from HeyMelody) to use the single tap feature. Sturdy design. Premium premium feel. Top condition, great sound. Base is fine, unless tuned. Pretty solid battery. I used leaf buds X614, boAt airdopes 141, boAt airdopes atom and quite more tws. This one is best so far. Cancels out outside noise even without any ANC.",0.8933430910110474,"The sound, out of the box, is slightly muddy. Use heyMelody app to customise it according to your preferences. It connects quickly without lag. Touch controls are fast and work well, however you have to turn on ""single tap to play/pause"" (from HeyMelody) to use the single tap feature. Sturdy design. Premium premium feel. Top condition, great sound. Base is fine, unless tuned. Pretty solid battery. I used leaf buds X614, boAt airdopes 141, boAt airdopes atom and quite more tws. This one is best so far. Cancels out outside noise even without any ANC.",95,False,False,6.484046025434509e-06,6.419878194749703e-05,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"Balanced and good bass for music lover and also even in bass ,vocals are totally clear means they are also good for study lectures and for every thing....some things like ANC, in ear detection missing and also it required one plus phone for 3d spatial audio and for translation..but still its good sound quality with good built quality......👍🏻👌🏻i choosed this one over realme t200 for good bass.....",0.980585277080536,"Balanced and good bass for music lover and also even in bass ,vocals are totally clear means they are also good for study lectures and for every thing....some things like ANC, in ear detection missing and also it required one plus phone for 3d spatial audio and for translation..but still its good sound quality with good built quality......👍🏻👌🏻i choosed this one over realme t200 for good bass.....",67,False,True,6.751475666533224e-06,6.632998361531621e-05,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"Generally satisfied. Good quality, long battery life. No noise cancellation - I was aware of that before buying but just be aware, in case it's important for you. I may be not using/configuring it right - but I often have to manually connect after removing from the case. I have paired with my phone, laptop, ipad and TV. If TV and iPad are switched off/not in the range, I expected automatic connection to phone (since 2 devices can be connected) but doesn't always connect.",0.9070667028427124,"Generally satisfied. Good quality, long battery life. No noise cancellation - I was aware of that before buying but just be aware, in case it's important for you. I may be not using/configuring it right - but I often have to manually connect after removing from the case. I have paired with my phone, laptop, ipad and TV. If TV and iPad are switched off/not in the range, I expected automatic connection to phone (since 2 devices can be connected) but doesn't always connect.",84,False,False,5.754081030318048e-06,5.829265717265111e-05,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
